Session,Run,Model,Frontend,Framework,Backend,Platform,Target,Cycles,MIPS,Total ROM,Total RAM,ROM read-only,ROM code,ROM misc,RAM data,RAM zero-init data,Features,Config,Postprocesses,Comment
523,0,aww,tflite,tvm,tvmaotplus,mlif,spike,15353935,348.1915458859278,101110,19140,36548,64546,16,2520,16620,['muriscvnnbyoc'],"{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.extra_target_mcpu': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.enable_vext': False, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.vlen': 0, 'spike.elen': 32, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.enabled': True, 'muriscvnnbyoc.mcpu': None}",[],-
523,1,aww,tflite,tvm,tvmaotplus,mlif,spike,9291276,65.1118787196712,104722,23608,36536,68170,16,2524,21084,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 64, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 64, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
523,2,aww,tflite,tvm,tvmaotplus,mlif,spike,6451018,57.36489736867413,104724,23608,36536,68172,16,2524,21084,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 128, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 128, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
523,3,aww,tflite,tvm,tvmaotplus,mlif,spike,5029550,48.759737711405066,104724,23608,36536,68172,16,2524,21084,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 256, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 256, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
523,4,aww,tflite,tvm,tvmaotplus,mlif,spike,4321469,43.421366521596234,104730,23608,36536,68178,16,2524,21084,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 512, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 512, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
523,5,aww,tflite,tvm,tvmaotplus,mlif,spike,3967153,34.046712861476,104724,23608,36536,68172,16,2524,21084,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 1024, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 1024, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
523,6,aww,tflite,tvm,tvmaotplus,mlif,spike,6743038,168.16614989536274,107546,20292,36292,71178,76,2520,17772,"['pext', 'muriscvnnbyoc']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m33', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_pext': True, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.enable_vext': False, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.pext_spec': 0.92, 'spike.vlen': 0, 'spike.elen': 32, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'pext.enabled': True, 'pext.spec': None, 'muriscvnnbyoc.mcpu': 'cortex-m33', 'muriscvnnbyoc.enabled': True}",[],-
523,7,vww,tflite,tvm,tvmaotplus,mlif,spike,45053427,377.9415852249796,333736,85588,265828,67892,16,2532,83056,['muriscvnnbyoc'],"{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.extra_target_mcpu': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.enable_vext': False, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.vlen': 0, 'spike.elen': 32, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.enabled': True, 'muriscvnnbyoc.mcpu': None}",[],-
523,8,vww,tflite,tvm,tvmaotplus,mlif,spike,23630940,49.41912656156465,337566,85592,265816,71734,16,2536,83056,"['muriscvnnbyoc', 'vext']","{'tflite.use_inout_data': False, 'tflite.visualize_enable': False, 'tflite.visualize_script': None, 'tflite.split_layers': False, 'tflite.pack_script': None, 'tvmaotplus.extra_target': ['cmsis-nn'], 'tvmaotplus.extra_target_mcpu': 'cortex-m55', 'tvm.use_tlcpack': None, 'tvmaotplus.print_outputs': False, 'tvmaotplus.opt_level': 3, 'tvmaotplus.target_device': None, 'tvmaotplus.target_mcpu': None, 'tvmaotplus.target_march': None, 'tvmaotplus.target_model': None, 'tvmaotplus.target_mtriple': None, 'tvmaotplus.target_mabi': None, 'tvmaotplus.target_mattr': None, 'tvmaotplus.desired_layout': None, 'tvmaotplus.disabled_passes': [], 'tvmaotplus.extra_pass_config': {'tir.usmp.enable': True, 'tir.usmp.algorithm': 'hill_climb'}, 'tvmaotplus.use_tuning_results': False, 'tvmaotplus.tvmc_extra_args': [], 'tvmaotplus.tvmc_custom_script': None, 'tvmaotplus.tophub_url': None, 'tvmaotplus.num_threads': 8, 'tvmaotplus.debug_arena': False, 'tvmaotplus.arena_size': 0, 'tvmaotplus.unpacked_api': True, 'tvmaotplus.alignment_bytes': 4, 'tvm.extra_incs': [], 'tvm.extra_libs': [], 'spike.enable_vext': True, 'spike.vlen': 64, 'spike.elen': 32, 'riscv_gcc.name': 'riscv32-unknown-elf', 'riscv_gcc.variant': 'unknown', 'spike.print_outputs': False, 'spike.repeat': None, 'spike.xlen': 32, 'spike.extensions': ['i', 'm', 'a', 'c'], 'spike.timeout_sec': 0, 'spike.fpu': 'double', 'spike.arch': None, 'spike.abi': None, 'spike.vext_spec': 1.0, 'spike.embedded_vext': False, 'spike.enable_pext': False, 'spike.pext_spec': 0.92, 'spike.spikepk_extra_args': [], 'spike.end_to_end_cycles': False, 'mlif.num_threads': 8, 'mlif.optimize': '3', 'mlif.toolchain': 'gcc', 'mlif.print_outputs': False, 'mlif.debug': False, 'mlif.build_dir': None, 'mlif.ignore_data': True, 'mlif.fail_on_error': False, 'mlif.prebuild_lib_path': None, 'mlif.input_data_path': None, 'mlif.output_data_path': None, 'mlif.mem_only': False, 'mlif.debug_symbols': False, 'mlif.verbose_makefile': False, 'muriscvnnbyoc.mcpu': 'cortex-m55', 'muriscvnnbyoc.enabled': True, 'vext.vlen': 64, 'vext.enabled': True, 'vext.elen': 32, 'vext.spec': None, 'vext.embedded': None}",[],-
